label_id,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
0,CLOSED,0.00000000,0.00000000,-0.12449917,-0.06370325,-0.20969759,-0.20781107,-0.22442312,-0.35204726,-0.18890271,-0.45360870,-0.12402682,-0.44331959,-0.12643899,-0.62906668,-0.12350248,-0.74861992,-0.11822027,-0.85673852,-0.04846529,-0.46611164,-0.04975607,-0.68105389,-0.05172332,-0.82097061,-0.05528097,-0.94754999,0.02066939,-0.44855573,0.02124894,-0.64958895,0.01929921,-0.77843517,0.01532380,-0.89457236,0.09272323,-0.39507166,0.09518448,-0.54762211,0.09305480,-0.64846761,0.08697858,-0.74366431
0,CLOSED,0.00000000,0.00000000,-0.12418838,-0.06501712,-0.21022898,-0.21018232,-0.22625546,-0.35690678,-0.18895065,-0.45652293,-0.12531399,-0.44410747,-0.12779692,-0.63213007,-0.12413802,-0.75198056,-0.11807765,-0.86063023,-0.05002172,-0.46749261,-0.05258731,-0.68391925,-0.05440982,-0.82234036,-0.05703161,-0.94784641,0.01876129,-0.45157022,0.01775427,-0.65213757,0.01598458,-0.77865327,0.01279008,-0.89353006,0.09056720,-0.40026577,0.09247198,-0.55441507,0.09179536,-0.65491331,0.08759181,-0.75013528
0,CLOSED,0.00000000,0.00000000,-0.12517711,-0.06494869,-0.21107519,-0.20838353,-0.22303381,-0.35353538,-0.19147215,-0.45709266,-0.12559069,-0.44386759,-0.12909569,-0.63130524,-0.12576220,-0.75120881,-0.12043301,-0.85987794,-0.05011931,-0.46821377,-0.05204726,-0.68449736,-0.05437280,-0.82304118,-0.05770625,-0.94850709,0.01828753,-0.45191400,0.01822786,-0.65312631,0.01493873,-0.78032935,0.00972270,-0.89556708,0.09029974,-0.39891127,0.09372208,-0.55380503,0.09194749,-0.65547511,0.08551790,-0.75209775
0,CLOSED,0.00000000,0.00000000,-0.12496045,-0.06411891,-0.21155099,-0.20690403,-0.22533346,-0.35113910,-0.19178102,-0.45366963,-0.12624756,-0.44365651,-0.12876017,-0.63019963,-0.12490075,-0.74977495,-0.11919138,-0.85871710,-0.05051427,-0.46797120,-0.05275556,-0.68350246,-0.05512527,-0.82173726,-0.05857190,-0.94759461,0.01838321,-0.45201876,0.01868154,-0.65144952,0.01642891,-0.77803700,0.01204712,-0.89268496,0.09068020,-0.39966034,0.09414181,-0.55381725,0.09298808,-0.65423224,0.08752455,-0.74920942
0,CLOSED,0.00000000,0.00000000,-0.12508926,-0.06247419,-0.21246445,-0.20552253,-0.22609083,-0.35046028,-0.19139635,-0.45244290,-0.12619371,-0.44161419,-0.12796583,-0.62862584,-0.12423439,-0.74861510,-0.11854891,-0.85688695,-0.05075168,-0.46623589,-0.05288739,-0.68269412,-0.05534629,-0.82210009,-0.05898863,-0.94772982,0.01779654,-0.45045453,0.01767147,-0.65116903,0.01501578,-0.77846345,0.01032703,-0.89322677,0.09002191,-0.39790674,0.09298313,-0.55197597,0.09110642,-0.65244632,0.08472554,-0.74729490
0,CLOSED,0.00000000,0.00000000,-0.12673535,-0.06495803,-0.21221310,-0.20783959,-0.22344009,-0.35143047,-0.19380119,-0.45671685,-0.12451226,-0.44217274,-0.12907585,-0.62816073,-0.12663670,-0.74859546,-0.12198583,-0.85780650,-0.04967773,-0.46664482,-0.05351948,-0.68158230,-0.05602141,-0.82129609,-0.05927103,-0.94878642,0.01827309,-0.45016082,0.01785983,-0.65188756,0.01532043,-0.78110854,0.01074457,-0.89827860,0.09003082,-0.39749591,0.09247812,-0.55121948,0.08990022,-0.65237952,0.08245841,-0.74861202
0,CLOSED,0.00000000,0.00000000,-0.12786950,-0.06240088,-0.21440246,-0.20169132,-0.22781018,-0.34627454,-0.19539661,-0.45191569,-0.12917618,-0.43924405,-0.13289314,-0.62740779,-0.12988437,-0.74815721,-0.12440682,-0.85710869,-0.05277897,-0.46422971,-0.05645699,-0.68035921,-0.05871813,-0.82024541,-0.06170208,-0.94784488,0.01658814,-0.44806904,0.01554252,-0.64919534,0.01280576,-0.77819546,0.00894932,-0.89463662,0.08996751,-0.39538384,0.09092182,-0.54862318,0.08874430,-0.64899515,0.08338046,-0.74402372
0,CLOSED,0.00000000,0.00000000,-0.12789356,-0.06402026,-0.21430918,-0.20697106,-0.22780233,-0.35075704,-0.19552295,-0.45479751,-0.12919544,-0.44382474,-0.13323609,-0.62838437,-0.13039971,-0.74771698,-0.12565388,-0.85659111,-0.05460996,-0.46817782,-0.05852503,-0.68232550,-0.06126372,-0.82176525,-0.06512161,-0.94902380,0.01340890,-0.45144565,0.01228314,-0.65223294,0.00936698,-0.78071068,0.00439712,-0.89736249,0.08542123,-0.39898382,0.08740208,-0.55205029,0.08507952,-0.65250238,0.07855419,-0.74785325
0,CLOSED,0.00000000,0.00000000,-0.12515232,-0.06741000,-0.20963856,-0.20840896,-0.22308407,-0.35021715,-0.18865102,-0.45264859,-0.12314841,-0.44659095,-0.12583761,-0.63298242,-0.12473855,-0.75366844,-0.12134298,-0.86139046,-0.04840551,-0.46998929,-0.05014285,-0.68317061,-0.05325874,-0.82337599,-0.05770244,-0.94764317,0.02139343,-0.45378918,0.02205863,-0.65468183,0.02004427,-0.78371321,0.01548292,-0.89761221,0.09414808,-0.40182082,0.09624715,-0.55593739,0.09319219,-0.65730918,0.08577033,-0.75099235
0,CLOSED,0.00000000,0.00000000,-0.12565378,-0.06358430,-0.21071086,-0.20751820,-0.22455963,-0.35229390,-0.18508805,-0.44742751,-0.12421522,-0.44191141,-0.12563387,-0.63052410,-0.12225309,-0.75051652,-0.11676399,-0.85788537,-0.04764439,-0.46436646,-0.04884440,-0.68011237,-0.05047407,-0.82061976,-0.05387824,-0.94634114,0.02294647,-0.44753857,0.02358176,-0.64841594,0.02194330,-0.77862399,0.01871617,-0.89389534,0.09712430,-0.39520562,0.09860974,-0.54851361,0.09586414,-0.64948540,0.08992333,-0.74341493
